item_id,target
item_1,112
item_1,118
item_1,132
item_1,129
item_1,121
item_1,135
item_1,148
item_1,148
item_1,136
item_1,119
item_1,104
item_1,118
item_1,115
item_1,126
item_1,141
item_1,135
item_1,125
item_1,149
item_1,170
item_1,170
item_1,158
item_1,133
item_1,114
item_1,140
item_1,145
item_1,150
item_1,178
item_1,163
item_1,172
item_1,178
item_1,199
item_1,199
item_1,184
item_1,162
item_1,146
item_1,166
item_1,171
item_1,180
item_1,193
item_1,181
item_1,183
item_1,218
item_1,230
item_1,242
item_1,209
item_1,191
item_1,172
item_1,194
item_1,196
item_1,196
item_1,236
item_1,235
item_1,229
item_1,243
item_1,264
item_1,272
item_1,237
item_1,211
item_1,180
item_1,201
item_1,204
item_1,188
item_1,235
item_1,227
item_1,234
item_1,264
item_1,302
item_1,293
item_1,259
item_1,229
item_1,203
item_1,229
item_1,242
item_1,233
item_1,267
item_1,269
item_1,270
item_1,315
item_1,364
item_1,347
item_1,312
item_1,274
item_1,237
item_1,278
item_1,284
item_1,277
item_1,317
item_1,313
item_1,318
item_1,374
item_1,413
item_1,405
item_1,355
item_1,306
item_1,271
item_1,306
item_1,315
item_1,301
item_1,356
item_1,348
item_1,355
item_1,422
item_1,465
item_1,467
item_1,404
item_1,347
item_1,305
item_1,336
item_1,340
item_1,318
item_1,362
item_1,348
item_1,363
item_1,435
item_1,491
item_1,505
item_1,404
item_1,359
item_1,310
item_1,337
item_1,360
item_1,342
item_1,406
item_1,396
item_1,420
item_1,472
item_1,548
item_1,559
item_1,463
item_1,407
item_1,362
item_1,405
item_1,417
item_1,391
item_1,419
item_1,461
item_1,472
item_1,535
item_1,622
item_1,606
item_1,508
item_1,461
item_1,390
item_1,432
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10
item_2,10